symptoms,doctor_specialty,recommendations
болезненность суставов,ортопед,"Избегайте нагрузок, используйте мазь для снятия боли, сделайте массаж"
раздражительность,психотерапевт,"Избегайте стресса, примите успокоительное, обратитесь к врачу"
изменение голоса,отоларинголог,"Избегайте громких звуков, пейте теплый чай, обратитесь к врачу"
дискомфорт в животе,гастроэнтеролог,"Избегайте тяжелой пищи, пейте воду, обратитесь к врачу"
боль в крестце,ортопед,"Избегайте нагрузок, используйте мазь для снятия боли, сделайте массаж"
сухость глаз,офтальмолог,"Используйте капли для глаз, избегайте яркого света, обратитесь к врачу"
двоение в глазах,офтальмолог,"Избегайте яркого света, пейте воду, обратитесь к врачу"
бледность кожи,терапевт,"Отдыхайте, пейте воду, проверьте уровень гемоглобина"
головная боль в висках,невролог,"Примите обезболивающее, избегайте стресса, пейте воду"
ощущение сдавливания в груди,кардиолог,"Избегайте стресса, измерьте давление, обратитесь к врачу"
воспаление десен,стоматолог,"Чистите зубы мягкой щеткой, используйте ополаскиватель для рта, запишитесь к стоматологу"
изменение чувствительности кожи,невролог,"Избегайте нагрузок, примите витамины, обратитесь к врачу"
онемение лица,невролог,"Избегайте нагрузок, примите витамины, обратитесь к врачу"
рвота,гастроэнтеролог,"Избегайте тяжелой пищи, пейте воду, примите противорвотное"
чувствительность эмали,стоматолог,"Исключите горячую и холодную еду, агрессивные пасты,запишитесь к стоматологу"
